date_effective,key_policy_rate
2000-02-01,35.0
2000-03-24,32.0
2000-04-10,29.0
2000-08-15,27.0
2001-03-10,25.0
2001-04-07,21.0
2001-06-11,19.0
2001-08-09,17.0
2001-09-10,15.0
2001-12-10,12.5
2002-03-11,11.5
2002-04-04,10.0
2002-07-05,8.0
2002-12-05,7.0
2004-06-09,7.5
2004-10-07,8.0
2004-11-09,9.0
2005-08-10,9.5
2006-06-10,8.5
2007-06-01,8.0
2008-01-01,10.0
2008-04-30,12.0
2009-06-15,11.0
2009-08-12,10.25
2010-06-08,9.5
2010-07-08,8.5
2010-08-10,7.75
2012-03-23,7.5
2013-06-10,7.0
2013-08-13,6.5
2014-04-15,9.5
2014-07-17,12.5
2014-11-13,14.0
2015-02-06,19.5
2015-03-04,30.0
2015-03-31,30.0
2015-04-24,30.0
2015-05-29,30.0
2015-06-26,30.0
2015-07-31,30.0
2015-08-28,27.0
2015-09-25,22.0
2015-10-30,22.0
2015-12-18,22.0
2016-01-29,22.0
2016-03-04,22.0
2016-04-22,19.0
2016-05-27,18.0
2016-06-24,16.5
2016-07-29,15.5
2016-09-16,15.0
2016-10-28,14.0
2016-12-09,14.0
2017-01-27,14.0
2017-03-03,14.0
2017-04-14,13.0
2017-05-26,12.5
2017-07-07,12.5
2017-08-04,12.5
2017-09-15,12.5
2017-10-27,13.5
2017-12-15,14.5
2018-01-26,16.0
2018-03-02,17.0
2018-04-13,17.0
2018-05-25,17.0
2018-07-13,17.5
2018-09-07,18.0
2018-10-26,18.0
2018-12-14,18.0
2019-02-01,18.0
2019-03-15,18.0
2019-04-26,17.5
2019-06-07,17.5
2019-07-19,17.0
2019-09-06,16.5
2019-10-25,15.5
2019-12-13,13.5
2020-01-31,11.0
2020-03-13,10.0
2020-04-24,8.0
2020-06-12,6.0
2020-07-24,6.0
2020-09-04,6.0
2020-10-23,6.0
2020-12-11,6.0
2021-01-22,6.0
2021-03-05,6.5
2021-04-16,7.5
2021-06-18,7.5
2021-07-23,8.0
2021-09-10,8.5
2021-10-22,8.5
2021-12-10,9.0
2022-01-21,10.0
2022-03-04,10.0
2022-06-03,25.0
2022-07-22,25.0
2022-09-09,25.0
2022-10-21,25.0
2022-12-09,25.0
2023-01-27,25.0
2023-03-17,25.0
2023-04-28,25.0
2023-06-16,25.0
2023-07-28,22.0
2023-09-15,20.0
2023-10-27,16.0
2023-12-15,15.0
2024-01-26,15.0
2024-03-15,14.5
2024-04-26,13.5
2024-06-14,13.0
2024-07-26,13.0
2024-09-20,13.0
2024-11-01,13.0
2024-12-13,13.5
2025-01-24,14.5
2025-03-07,15.5
2025-04-18,15.5
2025-06-06,15.5
2025-07-25,15.5
2025-09-12,15.5
2025-10-24,15.5
2025-12-12,15.5
